"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","price_capture_kind","extracted_at","source_url","source_title"
"ES","Media Markt","media_markt","Samsung","Samsung","laptop","Samsung Galaxy Book4 15,6 / i5",512,"cash",699.0,"699.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:47:41.205738+00:00","https://www.mediamarkt.es/es/product/_portatil-samsung-galaxy-book4-156-fhd-intelr-coretm-5-120u-16gb-ram-512gb-ssd-intelr-graphics-w11h-gris-1578835.html","Portátil - Samsung Galaxy Book4, 15.6"" FHD, Intel® Core™ i5-1335U, 16GB RAM, 512GB SSD, Intel® Graphics, W11H, Gris"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17e",256,"cash",709.0,"709.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:11.139923+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17e-negro-256-gb-5g-61-oled-super-retina-xdr-chip-a19-ios-1622076.html","Apple iPhone 17e, Negro, 256 GB, 5G, 6.1"" OLED Super Retina XDR, Chip A19, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17e",512,"cash",929.0,"929.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:11.173392+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17e-rosa-512-gb-5g-61-oled-super-retina-xdr-chip-a19-ios-1622081.html","Apple iPhone 17e, Rosa, 512 GB, 5G, 6.1"" OLED Super Retina XDR, Chip A19, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17 Pro",256,"cash",1289.0,"1289.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:12.639332+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-pro-plata-256-gb-5g-63-oled-super-retina-xdr-chip-a19-pro-ios-1606135.html","Apple iPhone 17 Pro, Plata, 256 GB, 5G, 6.3"" OLED Super Retina XDR, Chip A19 Pro, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17 Pro",512,"cash",1539.0,"1539.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:12.145550+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-pro-azul-oscuro-512-gb-5g-63-oled-super-retina-xdr-chip-a19-pro-ios-1606140.html","Apple iPhone 17 Pro, Azul oscuro, 512 GB, 5G, 6.3"" OLED Super Retina XDR, Chip A19 Pro, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17",256,"cash",939.0,"939.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:20.597246+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-negro-256-gb-5g-63-oled-super-retina-xdr-chip-a19-ios-1606125.html","Apple iPhone 17, Negro, 256 GB, 5G, 6.3"" OLED Super Retina XDR, Chip A19, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17",512,"cash",1169.0,"1169.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:20.756796+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-azul-neblina-512-gb-5g-63-oled-super-retina-xdr-chip-a19-ios-1606132.html","Apple iPhone 17, Azul neblina, 512 GB, 5G, 6.3"" OLED Super Retina XDR, Chip A19, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17 Pro Max",256,"cash",1429.0,"1429.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:25.801830+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-pro-max-plata-256-gb-5g-69-oled-super-retina-xdr-chip-a19-pro-ios-1606144.html","Apple iPhone 17 Pro Max, Plata, 256 GB, 5G, 6.3"" OLED Super Retina XDR, Chip A19 Pro, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17 Pro Max",512,"cash",1689.0,"1689.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:26.343519+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-pro-max-naranja-cosmico-512-gb-5g-69-oled-super-retina-xdr-chip-a19-pro-ios-1606148.html","Apple iPhone 17 Pro Max, Naranja cósmico, 512 GB, 5G, 6.9"" OLED Super Retina XDR, Chip A19 Pro, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 17 Pro Max",2048,"cash",2359.0,"2359.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:29.163424+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-17-pro-max-azul-oscuro-2-tb-5g-69-oled-super-retina-xdr-chip-a19-pro-ios-1606155.html","Apple iPhone 17 Pro Max, Azul oscuro, 2 TB, 5G, 6.9"" OLED Super Retina XDR, Chip A19 Pro, iOS"
