country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A17 5G,128,financing_max_term,12.79,12.79 â‚¬/mes,EUR/month,18,True,mediamarkt_adapter_live,2026-02-18T11:38:36.594040+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a17-lte-azul-128-gb-4-gb-ram-67-fhd-super-amoled-mediatek-g99-octa-core-5000-mah-android-15-1604159.html,"Móvil | Samsung Galaxy A17 LTE, Azul, 128 GB, 4 GB RAM, 6.7"", FHD+ Super AMOLED, Mediatek G99 Octa-core, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A17 5G,128,financing_max_term,11.68,11.68 â‚¬/mes,EUR/month,20,True,mediamarkt_adapter_live,2026-02-18T11:38:36.594040+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a17-lte-azul-128-gb-4-gb-ram-67-fhd-super-amoled-mediatek-g99-octa-core-5000-mah-android-15-1604159.html,"Móvil | Samsung Galaxy A17 LTE, Azul, 128 GB, 4 GB RAM, 6.7"", FHD+ Super AMOLED, Mediatek G99 Octa-core, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,cash,479.0,"479,00 â‚¬",EUR,,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,48.89,"48,89 â‚¬/mes",EUR/month,10,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,154.42,154.42 â‚¬/mes,EUR/month,3,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,79.02,79.02 â‚¬/mes,EUR/month,6,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,41.37,41.37 â‚¬/mes,EUR/month,12,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,36.0,36.00 â‚¬/mes,EUR/month,14,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,28.85,28.85 â‚¬/mes,EUR/month,18,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy A56 5G,128,financing_max_term,26.36,26.36 â‚¬/mes,EUR/month,20,True,mediamarkt_adapter_live,2026-02-18T11:41:15.335821+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-a56-5g-negro-128-gb-8-gb-ram-67-fhd-super-amoled-qualcomm-snapdragon-6-gen-3-5000-mah-android-15-1594696.html,"Móvil | Samsung Galaxy A56 5G, Negro, 128 GB, 8 GB RAM, 6.7"" FHD+ Super AMOLED, Exynos 1580, 5000 mAh, Android 15 | MediaMarkt"
