row_id,brand,model,capacity_gb,offer_type,term_months,competitor,competitor_price_value,difference_pct_signed_vs_santander,status,confidence,competitor_source_url,evidence
14,Apple,Apple iPhone 17 Pro Max,256,financing_max_term,24,Movistar,29.5,-54.23,OK,high,https://www.movistar.es/moviles/apple-iphone-17-pro-max-256gb-azuloscuro/,cuota_pagina=29.5 coincide con csv
15,Apple,Apple iPhone 17 Pro,512,financing_max_term,24,Movistar,32.0,-53.51,OK,high,https://www.movistar.es/moviles/apple-iphone-17-pro-512gb-naranjacosmico/,cuota_pagina=32.0 coincide con csv
16,Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,24,Movistar,22.5,-53.33,MISMATCH_CAPACITY_URL,high,https://www.movistar.es/moviles/samsung-galaxy-s25-ultra-512gb-azultitanio/,cap_csv=256GB vs cap_url/title=[512]GB | cuota_pagina=22.5 coincide con csv | plazo_csv=24 vs plazo_pagina=48
17,Apple,Apple iPhone 17 Pro Max,512,financing_max_term,24,Movistar,35.5,-52.92,OK,high,https://www.movistar.es/moviles/apple-iphone-17-pro-max-512gb-azuloscuro/,cuota_pagina=35.5 coincide con csv
18,Apple,Apple Mac Mini M4,256,cash,,Apple Oficial,1099.0,52.85,GENERIC_BUY_PAGE_VARIANT_UNCLEAR,medium,https://www.apple.com/es/shop/buy-mac/mac-mini,URL de compra gen?rica (sin variante cerrada por capacidad/color) | cap_csv=256GB no especificada en URL | precio_csv no localizado de forma fiable en p?gina gen?rica
19,Apple,Apple Mac Studio M4 Max,512,cash,,Apple Oficial,1099.0,-52.81,GENERIC_BUY_PAGE_VARIANT_UNCLEAR,medium,https://www.apple.com/es/shop/buy-mac/mac-studio,URL de compra gen?rica (sin variante cerrada por capacidad/color) | cap_csv=512GB no especificada en URL | precio_csv no localizado de forma fiable en p?gina gen?rica
20,Apple,Apple iPad Air M3 13 WiFi,256,cash,,Media Markt,468.0,-52.2,UNVERIFIED_BLOCKED_CAPTCHA,medium,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-13-wifi-pantalla-liquid-retina-chip-m3-9gpu-1596026.html,MediaMarkt bloquea con CAPTCHA/403; no verificable precio/modalidad en vivo
21,Apple,Apple iPhone 17 Pro Max,1024,financing_max_term,24,Movistar,41.5,-51.96,OK,high,https://www.movistar.es/moviles/apple-iphone-17-pro-max-1024gb-azuloscuro/,"Validado manual en vivo: Desde 41,50 ?/mes y C?mbialo en 24 meses (coincide con CSV)."
22,Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,24,Media Markt,73.01,51.44,MISMATCH_CAPACITY_URL,high,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,cap_csv=256GB vs cap_url=[512]GB
23,Apple,Apple iPhone 17 Pro Max,2048,financing_max_term,24,Movistar,53.0,-51.07,OK,high,https://www.movistar.es/moviles/apple-iphone-17-pro-max-2048gb-azuloscuro/,Validado manual en vivo: Desde 53 ?/mes y C?mbialo en 24 meses (coincide con CSV).
24,Apple,Apple MacBook Air 13 M4,256,cash,,Media Markt,548.0,-50.14,PARTIAL_OK,medium,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-medianoche-1596179.html,URL parece corresponder; verificaci?n de precio/modalidad parcial
25,Apple,Apple MacBook Air 15 M4,256,cash,,Media Markt,701.0,-49.89,PARTIAL_OK,medium,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-153-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-plata-1596197.html,URL parece corresponder; verificaci?n de precio/modalidad parcial
26,Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,18,Media Markt,93.11,48.93,MISMATCH_CAPACITY_URL,high,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,cap_csv=256GB vs cap_url=[512]GB
27,Apple,Apple iPad Air M3 11 WiFi,256,cash,,Media Markt,405.0,-48.01,PARTIAL_OK,medium,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-11-wifi-pantalla-liquid-retina-chip-m3-9gpu-1595978.html,URL parece corresponder; verificaci?n de precio/modalidad parcial
28,Samsung,Samsung Galaxy Z Flip 7,256,financing_max_term,24,Media Markt,65.45,47.84,MISMATCH_CAPACITY_URL,high,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-zflip7-rojo-512-gb-12-gb-ram-69-fhd-exynos-2500-4300-mah-android-16-1602552.html,cap_csv=256GB vs cap_url=[512]GB
29,Apple,Apple MacBook Pro 14 M5,1024,cash,,Apple Oficial,1099.0,-47.14,GENERIC_BUY_PAGE_VARIANT_UNCLEAR,medium,https://www.apple.com/es/shop/buy-mac/macbook-pro,URL de compra gen?rica (sin variante cerrada por capacidad/color) | cap_csv=1024GB no especificada en URL | precio_csv no localizado de forma fiable en p?gina gen?rica
30,Apple,Apple iPad 11th WiFi,256,cash,,Media Markt,270.0,-46.95,PARTIAL_OK,medium,https://www.mediamarkt.es/es/product/_apple-ipad-11agen-256gb-rosa-wifi-109-retina-chip-a16-bionic-ipados-18-cable-de-carga-usbc-sin-adaptador-de-corriente-1595900.html,URL parece corresponder; verificaci?n de precio/modalidad parcial
31,Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,30,Media Markt,61.01,46.84,MISMATCH_CAPACITY_URL,high,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,cap_csv=256GB vs cap_url=[512]GB
32,Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,12,Media Markt,133.5,45.77,MISMATCH_CAPACITY_URL,high,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,cap_csv=256GB vs cap_url=[512]GB
