country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,price_capture_kind,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,100.14,100.14 EUR,EUR/month,14,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,80.26,80.26 EUR,EUR/month,18,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,73.32,73.32 EUR,EUR/month,20,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,62.93,62.93 EUR,EUR/month,24,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,52.59,52.59 EUR,EUR/month,30,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,cash,1449.0,1449.00 EUR,EUR,,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:04.413565+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,"Móvil - Samsung Galaxy S26 Ultra, Blanco, 256 GB, 12 GB RAM, 6.9"" QHD+, Qualcomm Snapdragon 8 Elite Gen 5, 5000 mAh, Android 16",,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,498.33,498.33 EUR,EUR/month,3,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,255.02,255.02 EUR,EUR/month,6,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,157.78,157.78 EUR,EUR/month,10,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,133.5,133.50 EUR,EUR/month,12,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,116.17,116.17 EUR,EUR/month,14,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,93.11,93.11 EUR,EUR/month,18,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,85.06,85.06 EUR,EUR/month,20,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,73.01,73.01 EUR,EUR/month,24,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 Ultra 5G,256,SM-S948BZKDEUB,financing_max_term,61.01,61.01 EUR,EUR/month,30,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.781489+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-ultra-blanco-256-gb-12-gb-ram-69-qhd-qualcomm-snapdragon-8-elite-gen-5-5000-mah-android-16-1620280.html,Samsung Galaxy S26 Ultra 5G,,
